I,II,III,AVR,AVL,AVF,V1,V2,V3,V4,V5,V6
-0.052,0.169,0.222,-0.059,-0.137,0.195,0.005,-0.025,-0.1,-0.095,-0.09,-0.085
-0.045,0.174,0.219,-0.064,-0.132,0.196,0.005,-0.022,-0.097,-0.092,-0.086,-0.08
-0.046,0.174,0.221,-0.064,-0.134,0.197,0.005,-0.017,-0.092,-0.087,-0.081,-0.075
-0.043,0.177,0.219,-0.067,-0.131,0.197,0.005,-0.015,-0.09,-0.085,-0.077,-0.07
-0.033,0.187,0.221,-0.077,-0.127,0.204,0.005,-0.02,-0.09,-0.085,-0.072,-0.07
-0.035,0.183,0.218,-0.074,-0.127,0.2,0.01,-0.02,-0.09,-0.085,-0.07,-0.069
-0.037,0.177,0.214,-0.07,-0.126,0.195,0.01,-0.021,-0.089,-0.085,-0.07,-0.065
-0.043,0.173,0.216,-0.065,-0.13,0.194,0.011,-0.026,-0.091,-0.085,-0.07,-0.064
-0.046,0.166,0.212,-0.06,-0.129,0.188,0.015,-0.024,-0.089,-0.085,-0.07,-0.069
-0.049,0.161,0.21,-0.056,-0.13,0.186,0.015,-0.028,-0.092,-0.087,-0.07,-0.068
-0.052,0.156,0.208,-0.052,-0.131,0.182,0.012,-0.037,-0.111,-0.092,-0.077,-0.084
-0.058,0.155,0.213,-0.049,-0.136,0.183,0.01,-0.04,-0.119,-0.094,-0.087,-0.102
-0.071,0.155,0.226,-0.043,-0.149,0.191,0.01,-0.048,-0.12,-0.098,-0.094,-0.102
-0.067,0.155,0.222,-0.044,-0.145,0.188,0.006,-0.05,-0.126,-0.108,-0.1,-0.105
-0.063,0.155,0.218,-0.046,-0.141,0.186,0.005,-0.056,-0.124,-0.114,-0.105,-0.109
-0.059,0.157,0.216,-0.049,-0.138,0.186,0.005,-0.067,-0.13,-0.121,-0.105,-0.11
-0.048,0.16,0.208,-0.056,-0.128,0.184,0.005,-0.07,-0.138,-0.124,-0.105,-0.107
-0.056,0.163,0.219,-0.054,-0.137,0.191,0.005,-0.075,-0.135,-0.119,-0.105,-0.103
-0.075,0.165,0.24,-0.045,-0.158,0.202,0.005,-0.072,-0.136,-0.121,-0.105,-0.102
-0.074,0.169,0.243,-0.048,-0.159,0.205,0.005,-0.067,-0.133,-0.118,-0.103,-0.098
-0.075,0.169,0.244,-0.048,-0.159,0.206,0.005,-0.064,-0.129,-0.115,-0.094,-0.096
-0.077,0.175,0.252,-0.049,-0.165,0.213,0.008,-0.06,-0.13,-0.115,-0.086,-0.093
-0.058,0.185,0.243,-0.064,-0.151,0.214,0.017,-0.056,-0.124,-0.109,-0.078,-0.083
-0.059,0.199,0.258,-0.071,-0.158,0.228,0.028,-0.056,-0.109,-0.094,-0.071,-0.07
-0.039,0.227,0.267,-0.094,-0.153,0.247,0.007,-0.061,-0.106,-0.09,-0.074,-0.061
-0.002,0.237,0.238,-0.118,-0.121,0.237,-0.035,-0.059,-0.104,-0.09,-0.076,-0.06
0.005,0.235,0.23,-0.12,-0.113,0.232,-0.047,-0.061,-0.105,-0.089,-0.08,-0.059
-0.02,0.206,0.226,-0.093,-0.124,0.216,-0.037,-0.073,-0.128,-0.102,-0.079,-0.062
-0.041,0.16,0.201,-0.06,-0.122,0.181,-0.035,-0.081,-0.144,-0.109,-0.072,-0.057
-0.026,0.137,0.162,-0.056,-0.094,0.149,-0.022,-0.067,-0.138,-0.113,-0.079,-0.064
-0.041,0.085,0.127,-0.022,-0.084,0.106,0.0,-0.07,-0.14,-0.108,-0.083,-0.07
-0.083,-0.005,0.078,0.044,-0.08,0.036,0.03,-0.057,-0.142,-0.122,-0.1,-0.08
-0.105,-0.062,0.043,0.083,-0.074,-0.009,0.052,-0.056,-0.127,-0.101,-0.083,-0.072
-0.099,-0.098,0.001,0.098,-0.049,-0.048,0.061,-0.048,-0.125,-0.114,-0.096,-0.074
-0.068,-0.096,-0.027,0.082,-0.02,-0.061,0.07,-0.025,-0.098,-0.093,-0.085,-0.071
-0.075,-0.106,-0.03,0.091,-0.022,-0.068,0.062,-0.044,-0.115,-0.088,-0.082,-0.062
-0.1,-0.136,-0.036,0.118,-0.031,-0.086,0.152,0.134,-0.012,-0.076,-0.098,-0.112
-0.093,-0.097,-0.004,0.095,-0.044,-0.05,0.22,0.332,0.235,0.125,0.02,-0.068
0.1,0.124,0.024,-0.112,0.037,0.074,0.165,0.517,0.763,0.679,0.475,0.255
0.478,0.584,0.106,-0.531,0.186,0.345,-0.101,0.084,1.092,1.622,1.479,1.072
0.369,0.557,0.189,-0.463,0.09,0.373,-0.574,-1.34,-0.245,0.805,1.141,1.13
-0.114,0.06,0.174,0.026,-0.144,0.117,-0.612,-1.836,-1.504,-0.895,-0.311,0.117
-0.193,-0.176,0.017,0.184,-0.105,-0.079,-0.255,-0.961,-1.008,-0.797,-0.499,-0.233
-0.091,-0.176,-0.085,0.134,-0.003,-0.13,-0.047,-0.261,-0.366,-0.309,-0.209,-0.113
-0.084,-0.113,-0.029,0.099,-0.028,-0.071,0.039,-0.057,-0.139,-0.142,-0.098,-0.079
-0.071,-0.098,-0.027,0.085,-0.022,-0.062,0.084,0.0,-0.068,-0.063,-0.053,-0.03
-0.066,-0.089,-0.023,0.078,-0.022,-0.055,0.091,0.024,-0.07,-0.078,-0.073,-0.04
-0.065,-0.079,-0.014,0.072,-0.026,-0.046,0.091,0.049,-0.05,-0.046,-0.04,-0.026
-0.064,-0.077,-0.013,0.071,-0.025,-0.044,0.088,0.057,-0.05,-0.06,-0.052,-0.029
-0.063,-0.065,-0.002,0.064,-0.03,-0.034,0.086,0.06,-0.03,-0.039,-0.035,-0.021
-0.06,-0.063,-0.003,0.061,-0.028,-0.033,0.083,0.065,-0.024,-0.04,-0.038,-0.019
-0.059,-0.055,0.003,0.057,-0.03,-0.026,0.09,0.079,-0.015,-0.032,-0.031,-0.016
-0.055,-0.051,0.004,0.053,-0.029,-0.023,0.097,0.091,-0.009,-0.028,-0.026,-0.006
-0.054,-0.047,0.008,0.05,-0.031,-0.019,0.095,0.099,-0.003,-0.025,-0.023,-0.003
-0.053,-0.042,0.011,0.048,-0.032,-0.015,0.095,0.114,0.004,-0.018,-0.008,0.007
-0.045,-0.038,0.007,0.041,-0.026,-0.015,0.092,0.138,0.024,-0.005,0.001,0.011
-0.034,-0.033,0.002,0.034,-0.018,-0.015,0.089,0.172,0.052,0.019,0.019,0.02
-0.016,-0.02,-0.004,0.019,-0.006,-0.012,0.091,0.215,0.075,0.037,0.033,0.033
0.003,-0.007,-0.01,0.002,0.007,-0.008,0.094,0.27,0.12,0.071,0.051,0.046
0.026,0.012,-0.014,-0.019,0.02,-0.001,0.095,0.342,0.171,0.114,0.09,0.069
0.04,0.012,-0.027,-0.026,0.033,-0.007,0.095,0.433,0.24,0.174,0.142,0.111
0.056,0.021,-0.035,-0.038,0.046,-0.007,0.093,0.515,0.311,0.237,0.192,0.153
0.093,0.053,-0.04,-0.073,0.066,0.006,0.09,0.571,0.358,0.284,0.233,0.183
0.117,0.07,-0.047,-0.093,0.082,0.011,0.09,0.588,0.388,0.318,0.258,0.208
0.121,0.079,-0.043,-0.1,0.082,0.018,0.09,0.567,0.381,0.329,0.259,0.207
0.11,0.07,-0.04,-0.09,0.075,0.015,0.089,0.526,0.346,0.314,0.255,0.195
0.078,0.04,-0.038,-0.059,0.058,0.001,0.091,0.431,0.286,0.258,0.223,0.177
0.034,0.0,-0.034,-0.016,0.034,-0.017,0.1,0.318,0.212,0.187,0.165,0.133
0.006,-0.033,-0.039,0.014,0.023,-0.035,0.101,0.234,0.142,0.132,0.114,0.09
-0.013,-0.057,-0.044,0.035,0.016,-0.05,0.096,0.16,0.084,0.079,0.064,0.052
-0.025,-0.071,-0.046,0.048,0.011,-0.058,0.095,0.107,0.045,0.036,0.03,0.023
-0.033,-0.083,-0.05,0.058,0.009,-0.067,0.09,0.077,0.016,0.009,0.02,0.012
-0.05,-0.101,-0.051,0.076,0.0,-0.075,0.091,0.058,0.0,0.0,0.014,0.006
-0.055,-0.105,-0.05,0.08,-0.002,-0.077,0.095,0.049,-0.008,-0.005,0.008,-0.001
-0.058,-0.105,-0.047,0.082,-0.005,-0.076,0.095,0.041,-0.016,-0.013,0.001,-0.008
-0.061,-0.105,-0.044,0.083,-0.008,-0.075,0.095,0.033,-0.025,-0.019,-0.004,-0.014
-0.06,-0.105,-0.045,0.083,-0.007,-0.075,0.095,0.026,-0.029,-0.024,0.0,-0.012
-0.052,-0.105,-0.053,0.079,0.001,-0.079,0.095,0.029,-0.024,-0.02,0.0,-0.007
-0.044,-0.102,-0.058,0.073,0.007,-0.079,0.095,0.033,-0.018,-0.016,0.001,-0.005
-0.044,-0.098,-0.055,0.072,0.006,-0.076,0.095,0.037,-0.015,-0.014,0.006,0.0
-0.043,-0.095,-0.052,0.069,0.005,-0.073,0.095,0.042,-0.01,-0.01,0.004,0.003
-0.042,-0.092,-0.049,0.067,0.003,-0.07,0.095,0.044,-0.005,-0.005,0.008,0.007
-0.043,-0.088,-0.046,0.066,0.002,-0.067,0.095,0.056,-0.009,-0.007,0.01,0.01
-0.041,-0.085,-0.044,0.064,0.002,-0.065,0.095,0.063,-0.011,-0.011,0.011,0.01
-0.025,-0.082,-0.057,0.054,0.016,-0.07,0.091,0.059,-0.01,-0.01,0.016,0.01
-0.021,-0.08,-0.059,0.051,0.019,-0.069,0.09,0.057,-0.01,-0.01,0.014,0.01
-0.025,-0.077,-0.052,0.051,0.014,-0.064,0.09,0.054,-0.01,-0.01,0.011,0.01
-0.025,-0.075,-0.049,0.05,0.013,-0.062,0.085,0.051,-0.011,-0.01,0.008,0.007
-0.032,-0.075,-0.043,0.054,0.006,-0.059,0.085,0.05,-0.017,-0.016,0.005,0.001
-0.035,-0.075,-0.04,0.055,0.003,-0.057,0.084,0.043,-0.023,-0.021,0.002,-0.003
-0.04,-0.075,-0.035,0.058,-0.002,-0.055,0.08,0.032,-0.027,-0.027,0.0,-0.008
-0.039,-0.075,-0.035,0.058,-0.002,-0.055,0.078,0.023,-0.034,-0.032,-0.002,-0.013
-0.041,-0.075,-0.034,0.059,-0.003,-0.055,0.074,0.016,-0.038,-0.038,-0.008,-0.016
-0.035,-0.073,-0.038,0.055,0.002,-0.056,0.072,0.009,-0.048,-0.04,-0.012,-0.025
-0.012,-0.07,-0.058,0.041,0.023,-0.063,0.069,0.002,-0.056,-0.04,-0.016,-0.027
-0.009,-0.07,-0.061,0.04,0.026,-0.066,0.067,-0.004,-0.055,-0.043,-0.021,-0.024
-0.014,-0.07,-0.056,0.042,0.021,-0.062,0.064,-0.01,-0.055,-0.046,-0.026,-0.025
-0.016,-0.071,-0.055,0.044,0.019,-0.062,0.065,-0.014,-0.055,-0.044,-0.029,-0.025
-0.019,-0.069,-0.05,0.044,0.016,-0.059,0.065,-0.016,-0.055,-0.04,-0.03,-0.025
-0.028,-0.078,-0.05,0.053,0.012,-0.064,0.065,-0.02,-0.054,-0.04,-0.03,-0.024
-0.04,-0.082,-0.043,0.061,0.002,-0.062,0.066,-0.022,-0.049,-0.039,-0.03,-0.02
-0.038,-0.074,-0.035,0.056,-0.001,-0.055,0.07,-0.026,-0.044,-0.035,-0.031,-0.018
-0.042,-0.068,-0.027,0.055,-0.008,-0.047,0.075,-0.02,-0.039,-0.035,-0.026,-0.014
-0.023,-0.043,-0.02,0.033,-0.002,-0.031,0.077,-0.007,-0.035,-0.033,-0.015,-0.012
-0.007,-0.019,-0.011,0.013,0.002,-0.015,0.089,0.007,-0.029,-0.021,-0.002,-0.009
-0.02,-0.012,0.008,0.015,-0.013,-0.002,0.069,0.026,-0.027,-0.01,0.009,-0.007
0.001,-0.002,-0.003,0.0,0.002,-0.002,0.017,0.027,-0.015,0.007,0.023,0.003
0.036,0.004,-0.032,-0.02,0.034,-0.014,0.003,-0.001,-0.013,0.009,0.027,0.024
0.046,-0.008,-0.054,-0.019,0.05,-0.031,0.007,-0.031,-0.044,-0.032,0.008,0.015
0.03,-0.028,-0.058,-0.001,0.044,-0.043,0.008,-0.052,-0.072,-0.044,-0.003,0.003
0.008,-0.042,-0.051,0.017,0.03,-0.047,0.022,-0.039,-0.08,-0.052,-0.026,-0.018
-0.011,-0.056,-0.045,0.033,0.017,-0.05,0.028,-0.06,-0.093,-0.069,-0.037,-0.04
-0.043,-0.084,-0.041,0.064,-0.001,-0.062,0.041,-0.072,-0.112,-0.101,-0.065,-0.068
-0.054,-0.088,-0.034,0.072,-0.01,-0.061,0.046,-0.066,-0.105,-0.097,-0.064,-0.076
-0.049,-0.09,-0.041,0.07,-0.004,-0.066,0.042,-0.089,-0.116,-0.101,-0.063,-0.073
-0.052,-0.092,-0.04,0.072,-0.006,-0.066,0.05,-0.067,-0.102,-0.103,-0.072,-0.085
-0.047,-0.084,-0.037,0.066,-0.005,-0.06,0.036,-0.089,-0.121,-0.093,-0.051,-0.07
-0.096,-0.126,-0.03,0.111,-0.032,-0.078,0.105,0.048,-0.056,-0.094,-0.102,-0.109
-0.089,-0.1,-0.011,0.095,-0.039,-0.056,0.188,0.25,0.169,0.071,-0.019,-0.083
0.085,0.067,-0.019,-0.076,0.052,0.024,0.163,0.463,0.603,0.479,0.313,0.124
0.429,0.484,0.055,-0.457,0.187,0.269,-0.048,0.249,1.102,1.43,1.256,0.862
0.526,0.62,0.094,-0.574,0.216,0.357,-0.508,-1.085,0.14,1.098,1.322,1.192
0.032,0.167,0.135,-0.099,-0.052,0.151,-0.672,-1.934,-1.358,-0.669,-0.114,0.275
-0.226,-0.142,0.084,0.184,-0.155,-0.03,-0.357,-1.247,-1.172,-0.914,-0.564,-0.26
-0.08,-0.159,-0.078,0.12,-0.001,-0.118,-0.095,-0.408,-0.45,-0.37,-0.251,-0.147
-0.065,-0.095,-0.03,0.08,-0.018,-0.062,-0.001,-0.118,-0.172,-0.186,-0.136,-0.096
-0.043,-0.056,-0.013,0.05,-0.015,-0.035,0.049,-0.035,-0.08,-0.081,-0.058,-0.06
-0.028,-0.055,-0.027,0.041,0.0,-0.041,0.054,-0.009,-0.072,-0.095,-0.074,-0.074
-0.033,-0.043,-0.01,0.039,-0.011,-0.027,0.056,0.002,-0.047,-0.061,-0.046,-0.061
-0.024,-0.043,-0.019,0.034,-0.002,-0.031,0.071,0.01,-0.048,-0.068,-0.054,-0.062
-0.021,-0.034,-0.013,0.028,-0.004,-0.023,0.075,0.019,-0.034,-0.052,-0.042,-0.061
0.002,-0.03,-0.033,0.014,0.018,-0.031,0.069,0.036,-0.028,-0.047,-0.035,-0.054
-0.008,-0.036,-0.028,0.022,0.01,-0.032,0.067,0.048,-0.02,-0.045,-0.031,-0.047
-0.013,-0.039,-0.026,0.026,0.007,-0.032,0.062,0.058,-0.009,-0.033,-0.02,-0.033
-0.007,-0.03,-0.023,0.019,0.009,-0.027,0.059,0.068,-0.002,-0.035,-0.017,-0.027
-0.004,-0.024,-0.02,0.014,0.008,-0.022,0.056,0.089,0.016,-0.02,-0.004,-0.015
0.001,-0.018,-0.019,0.008,0.01,-0.018,0.054,0.12,0.031,-0.01,0.001,-0.009
0.004,-0.011,-0.015,0.004,0.01,-0.013,0.056,0.146,0.041,0.007,0.013,0.003
0.009,-0.004,-0.013,-0.002,0.011,-0.008,0.054,0.181,0.071,0.031,0.036,0.016
0.018,0.009,-0.009,-0.014,0.014,0.0,0.056,0.244,0.12,0.061,0.065,0.031
0.029,0.021,-0.007,-0.025,0.018,0.007,0.052,0.309,0.156,0.097,0.09,0.055
0.05,0.047,-0.003,-0.048,0.027,0.022,0.05,0.387,0.214,0.143,0.125,0.083
0.099,0.082,-0.017,-0.09,0.058,0.032,0.05,0.463,0.277,0.197,0.171,0.116
0.136,0.11,-0.026,-0.123,0.081,0.042,0.047,0.521,0.319,0.245,0.211,0.149
0.148,0.131,-0.017,-0.139,0.082,0.057,0.044,0.555,0.352,0.27,0.238,0.162
0.132,0.123,-0.009,-0.127,0.07,0.057,0.046,0.545,0.347,0.271,0.242,0.158
0.114,0.112,-0.002,-0.113,0.058,0.055,0.05,0.496,0.325,0.27,0.233,0.163
0.094,0.103,0.009,-0.099,0.043,0.056,0.05,0.406,0.275,0.237,0.199,0.149
0.058,0.078,0.02,-0.068,0.019,0.049,0.051,0.298,0.197,0.169,0.147,0.099
0.029,0.044,0.015,-0.037,0.006,0.029,0.055,0.202,0.128,0.108,0.101,0.046
-0.004,0.006,0.009,-0.001,-0.006,0.007,0.055,0.117,0.07,0.054,0.054,0.004
-0.02,-0.015,0.005,0.017,-0.012,-0.005,0.053,0.058,0.031,0.017,0.019,-0.016
-0.024,-0.027,-0.002,0.026,-0.011,-0.014,0.049,0.032,0.002,-0.012,0.004,-0.031
-0.03,-0.033,-0.004,0.032,-0.013,-0.018,0.05,0.022,-0.016,-0.026,-0.007,-0.041
-0.033,-0.029,0.004,0.031,-0.018,-0.012,0.046,0.017,-0.028,-0.018,-0.021,-0.042
-0.039,-0.027,0.012,0.033,-0.025,-0.007,0.045,0.013,-0.037,-0.031,-0.026,-0.046
-0.044,-0.024,0.02,0.033,-0.031,-0.002,0.045,0.006,-0.036,-0.047,-0.025,-0.048
-0.049,-0.021,0.028,0.035,-0.038,0.003,0.04,0.001,-0.035,-0.044,-0.025,-0.051
-0.046,-0.019,0.027,0.032,-0.037,0.004,0.04,0.004,-0.035,-0.048,-0.025,-0.046
-0.04,-0.016,0.024,0.027,-0.031,0.004,0.039,0.005,-0.035,-0.051,-0.025,-0.045
-0.034,-0.013,0.021,0.024,-0.028,0.004,0.035,0.006,-0.035,-0.05,-0.023,-0.045
-0.028,-0.01,0.018,0.019,-0.023,0.003,0.036,0.009,-0.033,-0.047,-0.02,-0.04
-0.023,-0.008,0.016,0.015,-0.019,0.004,0.032,0.011,-0.027,-0.044,-0.017,-0.04
-0.018,-0.004,0.013,0.011,-0.015,0.004,0.03,0.008,-0.023,-0.041,-0.014,-0.04
-0.017,-0.008,0.01,0.012,-0.013,0.001,0.03,0.006,-0.019,-0.038,-0.011,-0.04
-0.016,-0.01,0.006,0.013,-0.011,-0.002,0.03,0.002,-0.014,-0.035,-0.01,-0.04
-0.016,-0.013,0.003,0.014,-0.009,-0.005,0.03,-0.001,-0.01,-0.036,-0.011,-0.04
-0.014,-0.016,-0.001,0.015,-0.006,-0.008,0.03,0.019,-0.017,-0.04,-0.009,-0.04
-0.009,-0.015,-0.006,0.012,-0.001,-0.01,0.03,0.023,-0.028,-0.04,-0.011,-0.04
-0.018,-0.015,0.003,0.017,-0.01,-0.006,0.03,0.013,-0.03,-0.04,-0.008,-0.044
-0.027,-0.015,0.012,0.021,-0.019,-0.001,0.03,0.008,-0.033,-0.04,-0.018,-0.045
-0.024,-0.015,0.009,0.02,-0.016,-0.002,0.03,0.0,-0.036,-0.04,-0.031,-0.045
-0.025,-0.015,0.01,0.02,-0.017,-0.002,0.03,-0.004,-0.039,-0.043,-0.03,-0.045
-0.023,-0.017,0.005,0.02,-0.014,-0.006,0.028,-0.009,-0.04,-0.046,-0.03,-0.044
-0.025,-0.02,0.004,0.022,-0.015,-0.007,0.024,-0.011,-0.045,-0.043,-0.03,-0.046
-0.025,-0.02,0.006,0.022,-0.015,-0.007,0.025,-0.016,-0.053,-0.051,-0.029,-0.05
-0.005,-0.02,-0.015,0.013,0.005,-0.017,0.021,-0.017,-0.057,-0.065,-0.033,-0.05
-0.009,-0.02,-0.011,0.015,0.001,-0.016,0.02,-0.034,-0.061,-0.065,-0.035,-0.05
-0.019,-0.019,0.0,0.019,-0.009,-0.009,0.02,-0.052,-0.059,-0.064,-0.038,-0.053
-0.007,-0.016,-0.009,0.012,0.001,-0.012,0.015,-0.049,-0.064,-0.066,-0.041,-0.057
-0.011,-0.013,-0.002,0.012,-0.004,-0.007,0.015,-0.05,-0.065,-0.064,-0.044,-0.062
-0.024,-0.011,0.013,0.017,-0.019,0.001,0.015,-0.05,-0.066,-0.068,-0.046,-0.065
-0.02,-0.007,0.012,0.013,-0.016,0.002,0.015,-0.046,-0.069,-0.077,-0.043,-0.065
-0.022,-0.005,0.017,0.014,-0.019,0.006,0.015,-0.041,-0.066,-0.075,-0.037,-0.065
-0.035,-0.003,0.032,0.019,-0.033,0.014,0.015,-0.035,-0.06,-0.065,-0.032,-0.065
-0.023,0.008,0.031,0.007,-0.027,0.019,0.019,-0.032,-0.056,-0.06,-0.026,-0.065
-0.029,0.02,0.049,0.004,-0.039,0.035,0.037,-0.027,-0.051,-0.051,-0.02,-0.059
-0.017,0.047,0.064,-0.015,-0.041,0.055,0.044,-0.023,-0.031,-0.038,-0.015,-0.044
0.011,0.061,0.05,-0.036,-0.02,0.055,0.028,-0.021,-0.02,-0.039,-0.015,-0.04
0.014,0.05,0.036,-0.032,-0.011,0.043,-0.011,-0.013,-0.015,-0.045,-0.016,-0.041
0.017,0.043,0.026,-0.031,-0.005,0.034,-0.04,-0.03,-0.02,-0.048,-0.013,-0.036
0.01,0.032,0.022,-0.022,-0.006,0.027,-0.026,-0.059,-0.047,-0.054,-0.02,-0.037
0.011,0.031,0.02,-0.021,-0.005,0.025,-0.014,-0.076,-0.06,-0.057,-0.021,-0.032
-0.01,0.004,0.014,0.002,-0.012,0.009,-0.004,-0.075,-0.063,-0.069,-0.035,-0.049
-0.044,-0.031,0.013,0.037,-0.028,-0.009,-0.006,-0.083,-0.089,-0.085,-0.054,-0.068
-0.062,-0.056,0.007,0.059,-0.034,-0.024,-0.003,-0.079,-0.11,-0.12,-0.089,-0.096
-0.059,-0.053,0.006,0.056,-0.032,-0.024,0.001,-0.088,-0.103,-0.108,-0.085,-0.099
-0.054,-0.056,-0.002,0.055,-0.026,-0.029,-0.003,-0.095,-0.113,-0.121,-0.093,-0.099
-0.051,-0.056,-0.004,0.054,-0.023,-0.03,0.007,-0.079,-0.088,-0.112,-0.096,-0.104
-0.057,-0.05,0.007,0.054,-0.032,-0.022,-0.004,-0.11,-0.108,-0.114,-0.087,-0.089
-0.118,-0.09,0.028,0.104,-0.073,-0.031,0.073,0.055,-0.038,-0.116,-0.13,-0.145
-0.089,-0.052,0.037,0.07,-0.063,-0.007,0.143,0.253,0.193,0.071,-0.032,-0.119
0.119,0.158,0.039,-0.139,0.04,0.098,0.106,0.48,0.665,0.537,0.363,0.158
0.508,0.596,0.088,-0.552,0.21,0.342,-0.131,0.158,1.071,1.45,1.308,0.937
0.542,0.644,0.102,-0.593,0.22,0.373,-0.594,-1.263,-0.056,0.868,1.143,1.106
-0.012,0.17,0.182,-0.079,-0.097,0.176,-0.685,-1.928,-1.407,-0.799,-0.259,0.146
-0.214,-0.093,0.121,0.154,-0.168,0.014,-0.353,-1.153,-1.075,-0.851,-0.538,-0.273
-0.078,-0.107,-0.028,0.092,-0.025,-0.067,-0.121,-0.375,-0.406,-0.365,-0.251,-0.168
-0.084,-0.04,0.043,0.062,-0.063,0.002,-0.032,-0.115,-0.168,-0.191,-0.15,-0.123
-0.064,-0.011,0.052,0.037,-0.058,0.02,0.01,-0.055,-0.1,-0.112,-0.081,-0.072
-0.054,-0.013,0.042,0.033,-0.048,0.014,0.021,-0.031,-0.092,-0.128,-0.094,-0.087
-0.054,-0.007,0.047,0.03,-0.051,0.02,0.025,-0.015,-0.068,-0.094,-0.067,-0.076
-0.046,-0.013,0.034,0.03,-0.04,0.01,0.022,-0.001,-0.066,-0.105,-0.075,-0.082
-0.047,-0.008,0.039,0.027,-0.043,0.015,0.017,0.006,-0.052,-0.085,-0.059,-0.08
-0.042,-0.011,0.031,0.026,-0.037,0.01,0.014,0.02,-0.047,-0.084,-0.057,-0.078
-0.054,-0.003,0.052,0.028,-0.053,0.024,0.01,0.029,-0.038,-0.074,-0.052,-0.075
-0.048,0.007,0.055,0.02,-0.052,0.031,0.007,0.034,-0.03,-0.064,-0.042,-0.067
-0.042,0.013,0.055,0.014,-0.048,0.034,0.004,0.05,-0.021,-0.06,-0.039,-0.066
-0.028,0.028,0.055,-0.001,-0.042,0.041,0.019,0.068,-0.008,-0.048,-0.029,-0.058
-0.02,0.035,0.054,-0.008,-0.038,0.045,0.031,0.084,0.006,-0.045,-0.026,-0.057
-0.019,0.036,0.055,-0.009,-0.038,0.046,0.026,0.118,0.028,-0.027,-0.017,-0.044
-0.003,0.047,0.05,-0.022,-0.027,0.048,0.023,0.162,0.055,-0.008,-0.005,-0.022
-0.008,0.042,0.05,-0.017,-0.03,0.046,0.02,0.214,0.087,0.024,0.02,-0.003
0.023,0.071,0.049,-0.047,-0.013,0.059,0.015,0.289,0.137,0.067,0.052,0.021
